Timestamp,Status V,Latitude,Latitude Direction,Longitude,Longitude Direction,Speed Over Ground,True Course,Datestamp,Magnetic Variation,Magnetic Variation Direction
213641.00,A,4529.74169,N,07334.62478,W,1.942,221.71,281221,,
213642.00,A,4529.74121,N,07334.62518,W,2.010,222.20,281221,,
213643.00,A,4529.74071,N,07334.62572,W,2.180,214.77,281221,,
213644.00,A,4529.74018,N,07334.62620,W,2.099,214.62,281221,,
213645.00,A,4529.73959,N,07334.62669,W,2.485,216.44,281221,,
213646.00,A,4529.73902,N,07334.62732,W,2.205,216.84,281221,,
213647.00,A,4529.73816,N,07334.62756,W,2.781,209.13,281221,,
213648.00,A,4529.73741,N,07334.62780,W,2.572,205.43,281221,,
213649.00,A,4529.73694,N,07334.62826,W,1.849,,281221,,
213650.00,A,4529.73613,N,07334.62864,W,2.401,,281221,,
213651.00,A,4529.73544,N,07334.62892,W,2.543,202.30,281221,,
213652.00,A,4529.73470,N,07334.62956,W,2.548,201.67,281221,,
213653.00,A,4529.73402,N,07334.63006,W,2.547,,281221,,
213654.00,A,4529.73319,N,07334.63038,W,2.766,202.81,281221,,
213655.00,A,4529.73232,N,07334.63052,W,2.596,202.39,281221,,
213656.00,A,4529.73150,N,07334.63058,W,2.013,,281221,,
213657.00,A,4529.73062,N,07334.63118,W,1.581,,281221,,
213658.00,A,4529.73037,N,07334.63151,W,0.932,,281221,,
213659.00,A,4529.72950,N,07334.63143,W,1.650,207.65,281221,,
213700.00,A,4529.72893,N,07334.63167,W,1.392,,281221,,
213701.00,A,4529.72863,N,07334.63252,W,1.560,,281221,,
213702.00,A,4529.72841,N,07334.63290,W,1.301,221.58,281221,,
213703.00,A,4529.72762,N,07334.63358,W,1.940,214.81,281221,,
213704.00,A,4529.72685,N,07334.63385,W,1.766,216.68,281221,,
213705.00,A,4529.72634,N,07334.63472,W,1.551,,281221,,
213706.00,A,4529.72630,N,07334.63540,W,0.640,,281221,,
213707.00,A,4529.72644,N,07334.63652,W,1.231,,281221,,
213708.00,A,4529.72676,N,07334.63733,W,1.301,,281221,,
213709.00,A,4529.72656,N,07334.63793,W,1.096,,281221,,
213710.00,A,4529.72636,N,07334.63909,W,1.432,,281221,,
213711.00,A,4529.72609,N,07334.63968,W,0.558,,281221,,
213712.00,A,4529.72601,N,07334.64065,W,1.100,,281221,,
213713.00,A,4529.72561,N,07334.64125,W,1.193,,281221,,
213714.00,A,4529.72543,N,07334.64189,W,0.778,,281221,,
213715.00,A,4529.72535,N,07334.64284,W,1.515,,281221,,
213716.00,A,4529.72515,N,07334.64411,W,1.548,,281221,,
213717.00,A,4529.72521,N,07334.64504,W,1.603,,281221,,
213718.00,A,4529.72494,N,07334.64576,W,1.131,,281221,,
213719.00,A,4529.72468,N,07334.64677,W,1.395,,281221,,
213720.00,A,4529.72446,N,07334.64800,W,1.739,,281221,,
213721.00,A,4529.72387,N,07334.64919,W,1.886,,281221,,
213722.00,A,4529.72342,N,07334.65005,W,1.189,,281221,,
213723.00,A,4529.72347,N,07334.65094,W,1.317,,281221,,
213724.00,A,4529.72315,N,07334.65151,W,1.278,,281221,,
213725.00,A,4529.72292,N,07334.65259,W,1.389,,281221,,
213726.00,A,4529.72281,N,07334.65360,W,1.123,,281221,,
213727.00,A,4529.72222,N,07334.65385,W,0.659,,281221,,
213728.00,A,4529.72148,N,07334.65411,W,0.304,,281221,,
213729.00,A,4529.72074,N,07334.65554,W,0.516,,281221,,
213730.00,A,4529.71948,N,07334.65565,W,0.671,,281221,,
213731.00,A,4529.71835,N,07334.65598,W,0.356,,281221,,
213732.00,A,4529.71817,N,07334.65698,W,1.726,271.68,281221,,
213733.00,A,4529.71832,N,07334.65846,W,2.123,277.27,281221,,
213734.00,A,4529.71806,N,07334.66010,W,2.892,276.38,281221,,
213735.00,A,4529.71831,N,07334.66118,W,2.145,280.98,281221,,
213736.00,A,4529.71812,N,07334.66226,W,1.533,273.19,281221,,
213737.00,A,4529.71838,N,07334.66340,W,2.177,286.64,281221,,
213738.00,A,4529.71892,N,07334.66445,W,2.716,313.12,281221,,
213739.00,A,4529.71884,N,07334.66543,W,2.457,309.41,281221,,
213740.00,A,4529.71854,N,07334.66676,W,2.914,297.78,281221,,
213741.00,A,4529.71846,N,07334.66717,W,1.184,305.45,281221,,
213742.00,A,4529.71868,N,07334.66702,W,2.557,336.33,281221,,
213743.00,A,4529.71885,N,07334.66641,W,2.473,0.64,281221,,
213744.00,A,4529.71880,N,07334.66587,W,2.145,15.90,281221,,
213745.00,A,4529.71874,N,07334.66492,W,2.256,43.13,281221,,
213746.00,A,4529.71898,N,07334.66451,W,2.165,54.76,281221,,
213747.00,A,4529.71948,N,07334.66392,W,2.224,56.66,281221,,
213748.00,A,4529.71963,N,07334.66380,W,1.385,,281221,,
213749.00,A,4529.71970,N,07334.66353,W,1.785,,281221,,
213750.00,A,4529.72003,N,07334.66266,W,2.429,48.14,281221,,
213751.00,A,4529.72045,N,07334.66219,W,2.035,,281221,,
213752.00,A,4529.72087,N,07334.66229,W,1.301,,281221,,
213753.00,A,4529.72149,N,07334.66252,W,1.006,,281221,,
213754.00,A,4529.72192,N,07334.66258,W,1.750,,281221,,
213755.00,A,4529.72223,N,07334.66177,W,2.072,,281221,,
213756.00,A,4529.72315,N,07334.66168,W,2.423,,281221,,
213757.00,A,4529.72359,N,07334.66133,W,1.837,,281221,,
213758.00,A,4529.72385,N,07334.66047,W,1.898,,281221,,
